Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Y
LP002795,Male,Yes,3+,Graduate,Yes,10139,0,260,360,1,Semiurban,Y
LP002723,Male,No,2,Graduate,No,3588,0,110,360,0,Rural,N
LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Y
LP001451,Male,Yes,1,Graduate,Yes,10513,3850,160,180,0,Urban,N
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Y
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449,165,180,0,Rural,N
LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Y
LP002262,Male,Yes,3+,Graduate,No,9504,0,275,360,1,Rural,Y
LP001120,Male,No,0,Graduate,No,1800,1213,47,360,1,Urban,Y
LP002950,Male,Yes,0,Not Graduate,NA,2894,2792,155,360,1,Rural,Y
LP001922,Male,Yes,0,Graduate,No,20667,0,NA,360,1,Rural,N
LP001949,Male,Yes,3+,Graduate,NA,4416,1250,110,360,1,Urban,Y
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Y
LP002379,Male,No,0,Graduate,No,6500,0,105,360,0,Rural,N
LP002478,NA,Yes,0,Graduate,Yes,2083,4083,160,360,NA,Semiurban,Y
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Y
LP001273,Male,Yes,0,Graduate,No,6000,2250,265,360,NA,Semiurban,N
LP001658,Male,No,0,Graduate,No,3858,0,76,360,1,Semiurban,Y
LP001357,Male,NA,NA,Graduate,No,3816,754,160,360,1,Urban,Y
LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Y
LP002936,Male,Yes,0,Graduate,No,3859,3300,142,180,1,Rural,Y
LP002141,Male,Yes,3+,Graduate,No,2666,2083,95,360,1,Rural,Y
LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Y
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,NA,Semiurban,Y
LP002473,Male,Yes,0,Graduate,No,8334,0,160,360,1,Semiurban,N
LP002931,Male,Yes,2,Graduate,Yes,6000,0,205,240,1,Semiurban,N
LP002683,Male,No,0,Graduate,No,4683,1915,185,360,1,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,5266,1774,187,360,1,Semiurban,Y
LP002582,Female,No,0,Not Graduate,Yes,17263,0,225,360,1,Semiurban,Y
LP001086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
LP002467,Male,Yes,0,Graduate,No,3708,2569,173,360,1,Urban,N
LP001151,Female,No,0,Graduate,No,4000,2275,144,360,1,Semiurban,Y
LP002693,Male,Yes,2,Graduate,Yes,7948,7166,480,360,1,Rural,Y
LP002753,Female,No,1,Graduate,NA,3652,0,95,360,1,Semiurban,Y
LP001392,Female,No,1,Graduate,Yes,7451,0,NA,360,1,Semiurban,Y
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Y
LP002444,Male,No,1,Not Graduate,Yes,2769,1542,190,360,NA,Semiurban,N
LP001504,Male,No,0,Graduate,Yes,6950,0,175,180,1,Semiurban,Y
LP001657,Male,Yes,0,Not Graduate,No,6033,0,160,360,1,Urban,N
LP001711,Male,Yes,3+,Graduate,No,3430,1250,128,360,0,Semiurban,N
LP001465,Male,Yes,0,Graduate,No,6080,2569,182,360,NA,Rural,N
LP002958,Male,No,0,Graduate,No,3676,4301,172,360,1,Rural,Y
LP001637,Male,Yes,1,Graduate,No,33846,0,260,360,1,Semiurban,N
LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Y
LP002194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Y
LP001326,Male,No,0,Graduate,NA,6782,0,NA,360,NA,Urban,N
LP002602,Male,No,0,Graduate,No,6283,4416,209,360,0,Rural,N
LP002345,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Y
LP001910,Male,No,1,Not Graduate,Yes,4053,2426,158,360,0,Urban,N
LP002364,Male,Yes,0,Graduate,No,14880,0,96,360,1,Semiurban,Y
LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
LP002409,Male,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,Y
LP002837,Male,Yes,3+,Graduate,No,3400,2500,123,360,0,Rural,N
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Y
LP001708,Female,No,0,Graduate,No,10000,0,214,360,1,Semiurban,N
LP002588,Male,Yes,0,Graduate,No,4625,2857,111,12,NA,Urban,Y
LP002585,Male,Yes,0,Graduate,No,3597,2157,119,360,0,Rural,N
LP001864,Male,Yes,3+,Not Graduate,No,4931,0,128,360,NA,Semiurban,N
LP001630,Male,No,0,Not Graduate,No,2333,1451,102,480,0,Urban,N
LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
LP001665,Male,Yes,1,Graduate,No,3125,2583,170,360,1,Semiurban,N
LP002948,Male,Yes,2,Graduate,No,5780,0,192,360,1,Urban,Y
LP001835,Male,Yes,0,Not Graduate,No,1668,3890,201,360,0,Semiurban,N
LP001541,Male,Yes,1,Graduate,No,6000,0,160,360,NA,Rural,Y
LP002318,Female,No,1,Not Graduate,Yes,3867,0,62,360,1,Semiurban,N
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Y
LP002670,Female,Yes,2,Graduate,No,2031,1632,113,480,1,Semiurban,Y
LP002706,Male,Yes,1,Not Graduate,No,5285,1430,161,360,0,Semiurban,Y
LP002652,Male,No,0,Graduate,No,5815,3666,311,360,1,Rural,N
LP001528,Male,No,0,Graduate,No,6277,0,118,360,0,Rural,N
LP001387,Female,Yes,0,Graduate,NA,2929,2333,139,360,1,Semiurban,Y
LP002422,Male,No,1,Graduate,No,37719,0,152,360,1,Semiurban,Y
LP001732,Male,Yes,2,Graduate,NA,5000,0,72,360,0,Semiurban,N
LP002785,Male,Yes,1,Graduate,No,3333,3250,158,360,1,Urban,Y
LP001493,Male,Yes,2,Not Graduate,No,4200,1430,129,360,1,Rural,N
LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Y
LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
LP001316,Male,Yes,0,Graduate,No,2958,2900,131,360,1,Semiurban,Y
LP002960,Male,Yes,0,Not Graduate,No,2400,3800,NA,180,1,Urban,N
LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Y
LP001520,Male,Yes,0,Graduate,No,4860,830,125,360,1,Semiurban,Y
LP002187,Male,No,0,Graduate,No,2500,0,96,480,1,Semiurban,N
LP001516,Female,Yes,2,Graduate,No,14866,0,70,360,1,Urban,Y
LP001222,Female,No,0,Graduate,No,4166,0,116,360,0,Semiurban,N
LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Y
LP002138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Y
LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Y
LP002224,Male,No,0,Graduate,No,3069,0,71,480,1,Urban,N
LP002953,Male,Yes,3+,Graduate,No,5703,0,128,360,1,Urban,Y
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Y
LP002401,Male,Yes,0,Graduate,No,2213,1125,NA,360,1,Urban,Y
LP002689,Male,Yes,2,Not Graduate,No,2192,1742,45,360,1,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,No,4342,189,124,360,1,Semiurban,Y
LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
LP002789,Male,Yes,0,Graduate,No,3593,4266,132,180,0,Rural,N
LP002618,Male,Yes,1,Not Graduate,No,4050,5302,138,360,NA,Rural,N
LP002112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Y
LP002798,Male,Yes,0,Graduate,No,3887,2669,162,360,1,Semiurban,Y
LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Y
LP002319,Male,Yes,0,Graduate,NA,6256,0,160,360,NA,Urban,Y
LP001146,Female,Yes,0,Graduate,No,2645,3440,120,360,0,Urban,N
LP001552,Male,Yes,0,Graduate,No,4583,5625,255,360,1,Semiurban,Y
LP002236,Male,Yes,2,Graduate,No,4566,0,100,360,1,Urban,N
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Y
LP002807,Male,Yes,2,Not Graduate,No,3675,242,108,360,1,Semiurban,Y
LP001870,Female,No,1,Graduate,No,3481,0,155,36,1,Semiurban,N
LP001052,Male,Yes,1,Graduate,NA,3717,2925,151,360,NA,Semiurban,N
LP002158,Male,Yes,0,Not Graduate,No,3000,1666,100,480,0,Urban,N
LP002840,Female,No,0,Graduate,No,2378,0,9,360,1,Urban,N
LP001198,Male,Yes,1,Graduate,No,8080,2250,180,360,1,Urban,Y
LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
LP002872,NA,Yes,0,Graduate,No,3087,2210,136,360,0,Semiurban,N
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Y
LP001736,Male,Yes,0,Graduate,No,2221,0,60,360,0,Urban,N
LP001529,Male,Yes,0,Graduate,Yes,2577,3750,152,360,1,Rural,Y
LP001002,Male,No,0,Graduate,No,5849,0,NA,360,1,Urban,Y
LP001760,Male,NA,NA,Graduate,No,4758,0,158,480,1,Semiurban,Y
LP001546,Male,No,0,Graduate,NA,2980,2083,120,360,1,Rural,Y
LP001047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
LP001263,Male,Yes,3+,Graduate,No,3167,4000,180,300,0,Semiurban,N
LP001194,Male,Yes,2,Graduate,No,2708,1167,97,360,1,Semiurban,Y
LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Y
LP001046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Y
LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
LP002978,Female,No,0,Graduate,No,2900,0,71,360,1,Rural,Y
LP002898,Male,Yes,1,Graduate,No,1880,0,61,360,NA,Rural,N
LP002137,Male,Yes,0,Graduate,No,6333,4583,259,360,NA,Semiurban,Y
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Y
LP001179,Male,Yes,2,Graduate,No,4616,0,134,360,1,Urban,N
LP002964,Male,Yes,2,Not Graduate,No,3987,1411,157,360,1,Rural,Y
LP002912,Male,Yes,1,Graduate,No,4283,3000,172,84,1,Rural,N
LP002855,Male,Yes,2,Graduate,No,16666,0,275,360,1,Urban,Y
LP001087,Female,No,2,Graduate,NA,3750,2083,120,360,1,Semiurban,Y
LP002393,Female,NA,NA,Graduate,No,10047,0,NA,240,1,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4191,0,120,360,1,Rural,Y
LP001647,Male,Yes,0,Graduate,No,9328,0,188,180,1,Rural,Y
LP002640,Male,Yes,1,Graduate,No,6065,2004,250,360,1,Semiurban,Y
LP002940,Male,No,0,Not Graduate,No,3833,0,110,360,1,Rural,Y
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Y
LP002519,Male,Yes,3+,Graduate,No,4691,0,100,360,1,Semiurban,Y
LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Y
LP002731,Female,No,0,Not Graduate,Yes,18165,0,125,360,1,Urban,Y
LP001543,Male,Yes,1,Graduate,No,9538,0,187,360,1,Urban,Y
LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Y
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Y
LP001197,Male,Yes,0,Graduate,No,3366,2200,135,360,1,Rural,N
LP002054,Male,Yes,2,Not Graduate,No,3601,1590,NA,360,1,Rural,Y
LP002443,Male,Yes,2,Graduate,No,3340,1710,150,360,0,Rural,N
LP002446,Male,Yes,2,Not Graduate,No,2309,1255,125,360,0,Rural,N
LP002209,Female,No,0,Graduate,NA,2764,1459,110,360,1,Urban,Y
LP001404,Female,Yes,0,Graduate,No,3167,2283,154,360,1,Semiurban,Y
LP002961,Male,Yes,1,Graduate,No,3400,2500,173,360,1,Semiurban,Y
LP001754,Male,Yes,NA,Not Graduate,Yes,4735,0,138,360,1,Urban,N
LP002862,Male,Yes,2,Not Graduate,No,6125,1625,187,480,1,Semiurban,N
LP002178,Male,Yes,0,Graduate,No,3013,3033,95,300,NA,Urban,Y
LP002144,Female,No,NA,Graduate,No,3813,0,116,180,1,Urban,Y
LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Y
LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Y
LP002813,Female,Yes,1,Graduate,Yes,19484,0,600,360,1,Semiurban,Y
LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Y
LP001478,Male,No,0,Graduate,No,2718,0,70,360,1,Semiurban,Y
LP002933,NA,No,3+,Graduate,Yes,9357,0,292,360,1,Semiurban,Y
LP002945,Male,Yes,0,Graduate,Yes,9963,0,180,360,1,Rural,Y
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Y
LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Y
LP001577,Female,Yes,0,Graduate,No,4583,0,112,360,1,Rural,N
LP001155,Female,Yes,0,Not Graduate,No,1928,1644,100,360,1,Semiurban,Y
LP001422,Female,No,0,Graduate,No,10408,0,259,360,1,Urban,Y
LP002448,Male,Yes,0,Graduate,No,3948,1733,149,360,0,Rural,N
LP001319,Male,Yes,2,Not Graduate,No,3273,1820,81,360,1,Urban,Y
LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Y
LP001565,Male,Yes,1,Graduate,No,3089,1280,121,360,0,Semiurban,N
LP002170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Y
LP001491,Male,Yes,2,Graduate,Yes,3316,3500,88,360,1,Urban,Y
LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Y
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,360,1,Urban,Y
LP001938,Male,Yes,2,Graduate,No,4400,0,127,360,0,Semiurban,N
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,NA,1,Semiurban,Y
LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
LP002131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Y
LP001964,Male,Yes,0,Not Graduate,No,1800,2934,93,360,0,Urban,N
LP002116,Female,No,0,Graduate,No,2378,0,46,360,1,Rural,N
LP002634,Female,No,1,Graduate,No,13262,0,40,360,1,Urban,Y
LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Y
LP002435,Male,Yes,0,Graduate,NA,3539,1376,55,360,1,Rural,N
LP002151,Male,Yes,1,Graduate,No,3875,0,67,360,1,Urban,N
LP002682,Male,Yes,NA,Not Graduate,No,3074,1800,123,360,0,Semiurban,N
LP001369,Male,Yes,2,Graduate,No,11417,1126,225,360,1,Urban,Y
LP001586,Male,Yes,3+,Not Graduate,No,3522,0,81,180,1,Rural,N
LP002717,Male,Yes,0,Graduate,No,1025,5500,216,360,NA,Rural,Y
LP002692,Male,Yes,3+,Graduate,Yes,5677,1424,100,360,1,Rural,Y
LP001282,Male,Yes,0,Graduate,No,2500,2118,104,360,1,Semiurban,Y
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,4166,7210,184,360,1,Urban,Y
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Y
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Y
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875,97,360,1,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,4755,0,95,NA,0,Semiurban,N
LP001653,Male,No,0,Not Graduate,No,4885,0,48,360,1,Rural,Y
LP001109,Male,Yes,0,Graduate,No,1828,1330,100,NA,0,Urban,N
LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
LP001091,Male,Yes,1,Graduate,NA,4166,3369,201,360,NA,Urban,N
LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Y
LP001449,Male,No,0,Graduate,No,3865,1640,NA,360,1,Rural,Y
LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,NA,Urban,Y
LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Y
LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Y
LP001702,Male,No,0,Graduate,No,3418,0,127,360,1,Semiurban,N
LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
LP001267,Female,Yes,2,Graduate,No,1378,1881,167,360,1,Urban,N
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Y
LP002874,Male,No,0,Graduate,No,3229,2739,110,360,1,Urban,Y
LP002984,Male,Yes,2,Graduate,No,7583,0,187,360,1,Urban,Y
LP001519,Female,No,0,Graduate,No,10000,1666,225,360,1,Rural,N
LP001095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
LP002767,Male,Yes,0,Graduate,No,2768,1950,155,360,1,Rural,Y
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Y
LP002842,Male,Yes,1,Graduate,No,3417,1750,186,360,1,Urban,Y
LP002332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Y
LP001849,Male,No,0,Not Graduate,No,6045,0,115,360,0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
LP002622,Male,Yes,2,Graduate,No,3510,4416,243,360,1,Rural,Y
LP002729,Male,No,1,Graduate,No,11250,0,196,360,NA,Semiurban,N
LP002328,Male,Yes,0,Not Graduate,No,6096,0,218,360,0,Rural,N
LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Y
LP001243,Male,Yes,0,Graduate,No,3208,3066,172,360,1,Urban,Y
LP001432,Male,Yes,2,Graduate,No,2957,0,81,360,1,Semiurban,Y
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Y
LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Y
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Y
LP001531,Male,No,0,Graduate,No,9166,0,244,360,1,Urban,N
LP001050,NA,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
LP002297,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Y
LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Y
LP002243,Male,Yes,0,Not Graduate,No,3010,3136,NA,360,0,Urban,N
LP001994,Female,No,0,Graduate,No,2400,1863,104,360,0,Urban,N
LP002180,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Y
LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,NA,Urban,Y
LP002181,Male,No,0,Not Graduate,No,6216,0,133,360,1,Rural,N
LP002587,Male,Yes,0,Not Graduate,No,2600,1700,107,360,1,Rural,Y
LP002938,Male,Yes,0,Graduate,Yes,16120,0,260,360,1,Urban,Y
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Y
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,NA,1,Rural,Y
LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Y
LP001164,Female,No,0,Graduate,No,4230,0,112,360,1,Semiurban,N
LP001610,Male,Yes,3+,Graduate,No,5516,11300,495,360,0,Semiurban,N
LP002684,Female,No,0,Not Graduate,No,3400,0,95,360,1,Rural,N
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,1,Rural,N
LP001469,Male,No,0,Graduate,Yes,20166,0,650,480,NA,Urban,Y
LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Y
LP002160,Male,Yes,3+,Graduate,No,5167,3167,200,360,1,Semiurban,Y
LP002545,Male,No,2,Graduate,No,3547,0,80,360,0,Rural,N
LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Y
LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Y
LP001106,Male,Yes,0,Graduate,No,2275,2067,NA,360,1,Urban,Y
LP002424,Male,Yes,0,Graduate,No,7333,8333,175,300,NA,Rural,Y
LP001345,Male,Yes,2,Not Graduate,No,4288,3263,133,180,1,Urban,Y
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Y
LP001259,Male,Yes,1,Graduate,Yes,1000,3022,110,360,1,Urban,N
LP001384,Male,Yes,3+,Not Graduate,No,2071,754,94,480,1,Semiurban,Y
LP002833,Male,Yes,0,Not Graduate,No,4467,0,120,360,NA,Rural,Y
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,3029,0,99,360,1,Urban,Y
LP001633,Male,Yes,1,Graduate,No,6400,7250,180,360,0,Urban,N
LP002847,Male,Yes,NA,Graduate,No,5116,1451,165,360,0,Urban,N
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Y
LP002606,Female,No,0,Graduate,No,3159,0,100,360,1,Semiurban,Y
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Y
LP001426,Male,Yes,NA,Graduate,No,5667,2667,180,360,1,Rural,Y
LP001379,Male,Yes,2,Graduate,No,3800,3600,216,360,0,Urban,N
LP002098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Y
LP001572,Male,Yes,0,Graduate,No,9323,0,75,180,1,Urban,Y
LP002943,Male,No,NA,Graduate,No,2987,0,88,360,0,Semiurban,N
LP002643,Male,Yes,2,Graduate,No,3283,2035,148,360,1,Urban,Y
LP002734,Male,Yes,0,Graduate,No,6133,3906,324,360,1,Urban,Y
LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Y
LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Y
LP002892,Male,Yes,2,Graduate,No,6540,0,205,360,1,Semiurban,Y
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664,70,180,0,Urban,N
LP002832,Male,Yes,2,Graduate,No,8799,0,258,360,0,Urban,N
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Y
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Y
LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
LP001255,Male,No,0,Graduate,No,3750,0,113,480,1,Urban,N
LP002659,Male,Yes,3+,Graduate,No,3466,3428,150,360,1,Rural,Y
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Y
LP001349,Male,No,0,Graduate,No,4843,3806,151,360,1,Semiurban,Y
LP002335,Female,Yes,0,Not Graduate,No,2149,3237,178,360,0,Semiurban,N
LP002317,Male,Yes,3+,Graduate,No,81000,0,360,360,0,Rural,N
LP001265,Female,No,0,Graduate,No,3846,0,111,360,1,Semiurban,Y
LP001786,Male,Yes,0,Graduate,NA,5746,0,255,360,NA,Urban,N
LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Y
LP001580,Male,Yes,2,Graduate,No,8000,0,200,360,1,Semiurban,Y
LP002130,Male,Yes,NA,Not Graduate,No,3523,3230,152,360,0,Rural,N
LP002768,Male,No,0,Not Graduate,No,3358,0,80,36,1,Semiurban,N
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Y
LP001656,Male,No,0,Graduate,No,12000,0,164,360,1,Semiurban,N
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Y
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Y
LP002489,Female,No,1,Not Graduate,NA,5191,0,132,360,1,Semiurban,Y
